adj,freq
confrontational,1
progressive,4
nuclear,10
superb,1
written,5
supernatural,1
closed,1
membrane,1
frustrated,1
nutritious,1
comparable,2
explosive,1
jobby,1
key,9
precious,5
weary,1
tented,1
instant,2
equal,3
ding-dong,3
tactical,4
tremmy,1
anti-semetic,1
glorious,1
relevant,15
budgetary,2
invasive,1
harmonic,7
ce,1
migrant,1
cr,1
unclean,1
tremendous,13
decent,15
quent,1
genetic,1
blatant,1
do-nothing,1
oth,6
non-gav,1
controlled,4
received,1
sufficient,6
crappy,1
sulphuric,1
finished,1
tense,1
improved,1
fellow,2
present,25
it.and,1
multi,1
made-to-measure,1
atmospheric,1
plain,7
rectangular,1
surveyors,1
stunning,1
wild,10
ultra,3
frustrating,1
noticed,1
nous,1
concerted,1
ripe,5
centenary,2
gothic,2
optimistic,1
dual,3
lightweight,1
roll-off,1
descriptive,2
orbital,1
terrorist,1
electro-mechanical,1
vintage,1
cross,9
coronary,2
adverse,7
strange,12
merciful,1
geographical,3
underground,1
finite,1
privileged,1
fide,2
difficult,18
garish,1
pho,1
cubic,1
intravascular,1
unsympathetic,1
colouring,1
fully-fashioned,1
fierce,3
incendiary,1
mosaic,1
snatchers,1
off,5
neural,1
shotgun,1
colour,15
rife,1
qualified,1
experimental,2
underlay,1
english,21
yangtze,1
soviet,6
usual,11
excessive,2
high-risk,3
well-financed,1
wealthy,3
domestic,15
blackpool,1
underlying,5
distant,1
voltage,6
glug,4
keen,2
adv,1
every-day,1
generous,2
rapid,4
run-down,1
fifty-five,1
residential,14
large-scale,1
demographic,1
barefooted,1
wel,1
attractive,4
wet,8
mannered,3
practise,1
ski,1
cumulative,1
smart,4
baltic,1
marzipan,1
piec,1
historic,6
facial,2
panelled,2
whopping,2
prominent,7
improper,1
necessary,11
like,54
lost,2
vibrant,2
qualitative,3
alkali,1
illuminous,1
soft,19
italian,3
libidinal,2
shabby,1
classical,4
alive,1
flush,1
proper,41
supportive,1
anti-trust,1
lead,2
broad,13
leaded,3
consultative,1
referential,1
sacramental,1
coated,3
medieval,11
slight,7
winscale,1
skelet,1
preventative,1
noisy,3
rare,3
computerized,2
fudd,1
beige,2
apostle,2
insufficient,1
transitive,1
documentary,2
distressed,1
own,222
unsustainable,1
pussy,4
functional,9
disaffected,1
female,6
mere,5
unfashionable,1
additional,24
elastic,2
noxious,1
eeny,1
imperial,4
ee,2
recognised,4
utopian,2
var,1
extravagant,2
reckonable,1
prophetic,1
north,12
hazardous,1
pe,3
practicising,1
subjective,1
neutral,1
hi,2
wurgh,2
automated,1
ha,5
versatile,4
bilateral,1
wise,3
chained,1
dangerous,4
official,6
smooth,2
flip,1
venetian,1
record,1
cruel,1
anti-tank,1
excruciatingly,1
irish,6
int,2
inadequate,1
universal,4
semi-,1
carbohydrate,1
well-defined,3
ine,1
balcony,1
mutual,1
incredible,1
psychoanaly,1
bulky,1
virtual,1
other,682
two-piece,1
sick,13
jeepy,1
out-county,1
behold,1
under-active,1
reckless,1
pantomime,1
star,1
traumatic,1
airy-fairy,1
in-,1
ecological,1
hard-hearted,1
bitsy,2
cheque,2
scintillate,1
multi-,1
tax-exempt,1
auxiliary,1
persistent,2
ideological,3
rural,33
parole,1
baked,1
