adj,freq,lexical class,subjectivity score
correc,1,,
dreadful,3,,
wanton,1,,
tt,5,,
imme,1,,
nineteen,54,,
sparkling,3,,
foster,1,,
uniformed,1,,
th,5,,
crimson,1,,
hideous,1,,
it.and,1,,
eeny,1,,
confidential,4,,
very,443,,
horror,1,,
soled,1,,
fat,31,dimension,0.619375
coloured,25,,
diary,1,,
awful,47,value,0.641666666666667
witted,1,,
existing,11,,
fourth,12,,
wily,3,,
generalised,1,,
alien,2,,
sentimental,2,,
dista,1,,
anas,1,,
benevolent,1,,
skeletal,2,,
singularly,1,,
purpose-built,1,,
biological,11,,
throbbing,1,,
programme,9,,
outstanding,8,,
humongous,2,,
portable,11,,
methodical,2,,
colossal,1,,
built-in,2,,
direc,2,,
burnish,1,,
honourable,6,,
rata,1,,
further,35,,
casual,3,,
defence,1,,
sub,3,,
psychosomatic,1,,
brief,8,,
sus,2,,
undecided,1,,
fractional,1,,
judicious,1,,
slippery,1,physical,0.568888888888889
everlasting,1,,
plush,1,,
multinational,1,,
outgoing,1,,
full,72,physical,0.384444444444444
christian,8,,
healthmaster,1,,
loose,6,,
post-lunch,1,,
behaviour,3,,
smartest,1,,
selective,3,,
excess,2,,
bird-table,1,,
eventful,1,,
yellowed,1,,
personable,1,,
solid,26,,
aubergines.,1,,
bible,1,,
naval,4,,
maroony,1,,
blondish,1,,
introductory,2,,
vietnamese,1,,
miniature,2,,
kuomintang,1,,
milky,2,,
narrow,10,dimension,0.6325
elongated,1,,
british-brazilian,1,,
ex-president,1,,
marginal,1,,
cosmetic,1,,
capital,4,,
tendered,2,,
chunky,4,,
snug,1,,
trained,1,,
concerted,1,,
seventeenth,2,,
select,4,,
hispanic,1,,
intensive,3,,
conventional,6,,
distinct,5,,
non-,13,,
faint,3,color,0.475454545454545
shite,1,,
rustic,1,,
de-,1,,
gorgeous,10,value,0.891666666666667
mysterious,4,,
metric,2,,
minor,13,,
more,39,,
inferential,1,,
flat,20,dimension,0.256
fellow,3,other,0.31
stylistic,3,,
relevant,15,,
brisk,1,,
stable,5,,
weathershield,1,,
controlling,1,,
particular,72,,
known,1,,
retained,1,,
mellow,1,,
producing,1,,
glad,1,,
respected,1,,
hous,1,,
categorizing,1,,
ineffectual,1,,
aran-type,1,,
male,16,,
spontaneous,3,,
self-conscious,1,,
def,1,,
beautiful,57,value,0.935714285714286
stubborn,2,,
psychoanalytic,1,,
atrocious,1,,
searchlight,1,,
unbiased,3,,
minimum,12,,
salty,1,physical,0.545555555555556
ticker-tape,1,,
sharp,11,physical,0.417272727272727
cultivate,1,,
snappy,2,,
caravan,2,,
huge,105,dimension,0.624285714285714
respective,4,,
early,46,temporal,0.628
awkward,6,,
presumptive,1,,
needy,3,,
breaking,4,,
redoubtable,1,,
glowing,5,,
individualistic,2,,
sacred,2,,
strong,55,physical,0.64375
hopeless,2,,
ubiquitous,1,,
incorporated,1,,
rude,6,,
long,533,dimension,0.556428571428571
unsound,1,,
indomitable,2,,
coming,10,,
fi,3,,
horizontal,1,,
sloppy,1,,
authentic,2,,
compulsory,6,,
bleak,2,,
prevailing,1,,
short,212,dimension,0.54
preferential,1,,
crowded,1,,
shady,3,,
crippling,2,,
runway-busting,1,,
footed,1,,
skilful,2,,
fundamental,15,,
geographic,4,,
crafty,5,,
ding,5,,
mexican,5,nationality,0.283076923076923
attitudinal,1,,
developed,3,,
proverbial,1,,
installed,1,,
disabled,9,,
naughty,2,human,0.723
through,3,,
committed,1,,
staunch,4,,
kinetic,1,,
tutti-frutti,1,,
arrogant,4,,
cardiovascular,1,,
hundredth,1,,
thrilling,1,,
vulnerable,2,,
susceptible,1,,
wishful,1,,
lateral,1,,
pious,1,,
late,30,temporal,0.422307692307692
harmless,4,,
poxy,3,,
microscopic,3,,
dolly,2,,
travelling,1,,
argentine,1,,
wry,2,,
cornflower,1,,
good,865,value,0.78125
motivated,1,,
sucking,1,,
concreted,1,,
entire,14,,
indefatigable,1,,
cen,2,,
largest,3,,
ye,2,,
encouraging,10,,
grubby,1,,
tinned,1,,
permissible,1,,
attenuating,1,,
towering,1,,
adventurous,1,,
bigger,1,,
finite,1,,
pregnant,1,,
spinning,1,,
token,3,,
academic,11,,
boisterous,2,,
2m,2,,
shocking,3,,
difficult,18,,
exquisite,3,,
heavy,49,physical,0.5725
fragile,1,physical,0.384166666666667
restless,1,,
conflicting,1,,
thirteenth,1,,
numeric,1,,
engaging,1,,
coochy,1,,
punitive,1,,
inflated,1,,
antarctic,1,,
silky,3,,
unsalaried,1,,
submissionary,1,,
trusty,3,,
underlying,5,,
clandestine,1,,
childish,1,,
jolly,50,human,0.675714285714286
sociological,1,,
ministerial,3,,
tiresome,1,,
150th,1,,
solvent,2,,
pathetic,6,value,0.687692307692308
parched,1,,
store-based,1,,
like,63,,
pleasant,9,,
extraordinary,9,,
base,2,,
brightest,3,,
dire,1,,
put,5,,
earliest,1,,
capodimonte,1,,
improved,1,,
revolutionary,7,,
driven,1,,
unique,12,,
antigenic,1,,
unconfident,1,,
terrible,22,,
fifty-four,1,,
american,26,nationality,0.367857142857143
unvoluptuous,1,,
corrugated,1,,
major,150,,
rooted,1,,
protectionist,1,,
radical,12,,
limerick,1,,
revealing,1,,
olympic,1,,
fancy,7,value,0.673636363636364
traveled,1,,
fierce,6,human,0.71
enlarged,1,,
drier,1,,
angiogenic,1,,
heady,3,,
ethereal,1,,
soapy,1,,
bland,1,,
north-east,1,,
40mb,1,,
psychoanaly,1,,
de-humanising,1,,
leading,1,,
tougher,1,,
flavourful,1,,
excitable,1,,
flimsy,1,,
wonderful,29,,
grimy,1,,
molecular,6,,
subsidise,1,,
selling,1,,
treasured,1,,
nct,1,,
immediate,5,,
obsolete,1,,
filmic,1,,
permanent,9,,
off,5,,
sheer,6,,
secretarial,2,,
peaked,1,,
ste,1,,
performan,1,,
sta,1,,
iranian,1,,
double,34,other,0.053
impersonal,1,,
pocus.,1,,
spirited,2,,
supposed,4,,
unburnt,1,,
treated,1,,
sty,1,,
procedural,4,,
withered,1,,
pre-existing,1,,
meeny,1,,
heaviest,1,,
swanky,1,,
left-handed,1,,
pedestrian,1,,
substantial,18,,
blond,6,,
self-sacrificing,1,,
helpless,1,,
sensual,1,,
disenchanted,1,,
fermenting,1,,
lim,2,,
flaming,2,,
heterosexual,2,,
moist,2,,
internal,12,,
useless,9,,
frail,9,,
aggravating,1,,
on-going,2,,
contractual,3,,
kendal,1,,
experienced,3,,
electric,15,,
headmaster,1,,
everdeveloping,1,,
hardy,5,,
compl,1,,
unused,1,,
most,37,,
fangled,1,,
significant,29,,
gilt,1,,
boycotting,1,,
measured,1,,
approved,3,,
nitpicking,1,,
prostatic,1,,
chested,1,,
unequal,1,,
sturdy,4,,
mobile,11,,
clear,40,color,0.510555555555556
humanitarian,2,,
km,1,,
traditional,27,,
charitable,1,,
part-time,1,,
cramped,1,,
artistic,4,,
clean,28,physical,0.589230769230769
ineradicable,1,,
usual,18,,
dermatological,1,,
non-sexists,1,,
celebrated,3,,
humid,1,,
gold,3,color,0.214166666666667
hipped,1,,
blended,1,,
scattered,4,,
crocheted,1,,
parochial,1,,
malignant,1,,
velvety,1,,
excessive,3,,
fine,31,,
hi-,1,,
dominiques,1,,
gilded,1,,
giant,8,dimension,0.622222222222222
upturned,1,,
northern,69,,
justice,1,,
nervous,6,,
grotesque,1,,
19th,1,,
unhappy,1,,
indian,3,,
convoluted,1,,
plaited,1,,
managerial,1,,
quadrupedal,1,,
ten-minute,1,,
accurate,5,,
hir,1,,
dominant,6,,
cantankerous,2,,
dependent,2,,
luke,1,,
flowing,2,,
sunny,14,,
speckled,2,,
blank,6,,
famous,24,human,0.451111111111111
capsule,1,,
valuable,9,,
politicised,1,,
shared,1,,
struc,1,,
treed,1,,
bilateral,1,,
frightening,4,,
contextual,1,,
left-wing,1,,
oxy,4,,
contagious,1,,
slimy,1,,
disregarding,1,,
violent,6,,
choreographing,1,,
reputable,2,,
spiked,1,,
common,26,,
ninety-two,1,,
cre,1,,
sustainable,2,,
adult-looking,1,,
baroque,2,,
voltage,6,,
ninety-one,2,,
arr,1,,
pneumatic,1,,
scruffy,2,,
cynical,7,,
jade,2,,
printout,1,,
air-,1,,
crackly,1,,
individual,28,,
dumb,2,human,0.794444444444445
polish,2,,
close,4,location,0.629230769230769
forthcoming,7,,
crunching,1,,
outrageous,2,,
learnt,1,,
expert,1,,
unsettling,1,,
mine,1,,
forlorn,1,,
electoral,10,,
wor,1,,
cherry,6,,
various,140,,
assertive,1,,
silly,47,human,0.655
halfway,1,,
numerous,25,,
piss,1,,
available,7,,
solo,1,,
latin,2,,
deserving,2,,
coalfired,2,,
complementary,2,,
sole,1,,
thingummybob,1,,
unchallengeable,1,,
competent,5,,
indus,1,,
interfaced,1,,
full-time,3,,
tangible,1,,
thou,1,,
restful,1,,
annual,58,,
oxfordshire-based,1,,
foreign,24,,
sensitive,2,,
roman,1,,
artificialsounding,1,,
eleven-year,1,,
long-term,9,,
risky,1,,
whole,125,other,0.353636363636364
experimental,2,,
drunk,1,,
simple,48,,
sweet,15,physical,0.724666666666667
pop-in,1,,
hollow,2,physical,0.221428571428571
newborn,2,,
header,1,,
adjoining,3,,
frosty,2,,
scottish,7,,
wel,1,,
crispy,1,,
expensive,24,,
startling,5,,
monthly,10,,
scented,2,,
damp,2,physical,0.485384615384615
intracellular,2,,
political,99,,
gormless,1,,
cheeked,1,,
secret,3,,
complicated,3,,
coarse,2,,
make-up,1,,
goal-less,1,,
empty,11,physical,0.371428571428571
firm,3,,
affectionate,1,,
institutionalized,1,,
fridge-,1,,
gay,7,,
orchestral,2,,
upstart,1,,
gar,1,,
modelling,1,,
shrewd,1,,
gal,1,,
handleable,1,,
systematic,1,,
intriguing,3,,
heavier,1,,
utmost,2,,
raw,12,,
frozen,1,,
judicial,2,,
socialist,9,,
ropy,1,,
empirical,2,,
openest,1,,
funking,1,,
consular,1,,
probationary,1,,
involved,1,,
fun,1,value,0.872857142857143
extinct,1,,
handbrake,1,,
sombre,1,,
real,151,other,0.241428571428571
unitary,2,,
costly,2,,
straggling,1,,
vol,1,,
obtrusive,1,,
foul-mouthed,1,,
disappointing,1,,
dum-do-be-,1,,
full-length,1,,
ready,1,other,0.555555555555556
funny,52,,
communal,1,,
would-be,1,,
elevated,1,,
trian,1,,
orientated,1,,
eighty-six,1,,
lenient,1,,
pseudo-membrane,1,,
chickenpox,1,,
slanging,1,,
danish,2,,
mede,1,,
used,3,,
temporary,11,,
damn,12,,
stripy,1,,
painless,1,,
communi,1,,
piec,1,,
brooding,1,,
moving,1,,
aggregate,1,,
robust,3,,
timid,1,,
potable,1,,
focal,4,,
recent,21,,
canned,2,,
conversational,1,,
swish,1,,
particul,1,,
spaceman,1,,
older,1,,
spent,1,,
half-baked,2,,
concrete,1,material,0.302857142857143
swiss,1,,
recoverable,1,,
rheumy,2,,
bi-,1,,
egoistic,1,,
ludicrous,1,,
altruistic,1,,
competitive,12,,
communicative,1,,
mid-field,1,,
impotent,1,,
rotarian,1,,
irritable,1,,
retired,5,,
alternative,6,,
cabaret,1,,
coun,2,,
profitable,2,,
superficial,2,,
phospholipid,1,,
cur,1,,
alternate,1,,
fitting,4,,
co-ordinated,1,,
governmental,4,,
labour,24,,
impoverished,1,,
administrative,3,,
remaining,2,,
sensational,4,,
outspoken,2,,
big,825,dimension,0.691666666666667
couple,1,,
depreciable,1,,
marked,1,,
reliable,4,,
nationalist,1,,
necessary,12,,
bit,4,,
middle-of-the-road,1,,
vapour,1,,
leguminous,1,,
cognitive,1,,
shaped,3,,
unrecognized,1,,
vinta,1,,
collect,1,,
procta,1,,
recycled,2,,
vibrant,3,,
popular,11,,
stylish,2,,
unendurable,1,,
foolish,1,,
essential,9,,
mathematical,7,,
ninety-four,3,,
wind-up,1,,
fucking,19,,
empl,1,,
magnificent,7,,
back,25,location,0.297142857142857
martial,1,,
nutcrackery,1,,
economic,61,,
mighty,3,,
trendy,4,,
curious,5,,
7400rpm,1,,
pale,40,color,0.461875
departmental,5,,
savage,1,,
drudgy,1,,
clockwise,1,,
sub-committee,1,,
mummy,3,,
distributable,1,,
veterinary,1,,
requisite,1,,
soppy,3,,
pressure-sensitive,1,,
peo,1,,
straightforward,4,,
prob,1,,
minimal,1,,
classificated,1,,
eating,4,,
judgemen,1,,
bl,1,,
perpendicular,1,,
under-funding,1,,
snory,1,,
nitty,1,,
scaredy,1,,
intense,5,,
sporty,1,,
cautious,1,,
proven,1,,
weatherbeaten,1,,
ceremonial,1,,
aye,1,,
forgave,1,,
illegal,3,,
wrinkled,4,,
therapeutic,2,,
shiny,17,physical,0.367333333333333
moorish,1,,
youthful,5,,
astronomical,2,,
libidinal,2,,
deafness,1,,
abusive,1,,
whizz-kid,1,,
appropriate,6,,
smelly,7,,
conscientious,2,,
paradigmatic,1,,
proportional,1,,
next,210,temporal,0.281
methylene,1,,
odorous,1,,
subse,1,,
infuriating,1,,
featureless,1,,
few,614,,
aquatade,1,,
fast,4,speed,0.57125
baggy,2,,
semi-detached,2,,
syllabus,1,,
infected,1,,
ni-night,1,,
homemade,1,,
forward,6,,
kamikaze,1,,
conceivable,1,,
rhetorical,2,,
made-to-measure,1,,
cylindrical,1,,
jewish,8,,
potassium,1,,
mulberry,1,,
atlantic,1,,
alive,2,,
upright,2,,
junior,9,,
step-wise,1,,
groovy,1,,
inverse,1,,
intuitive,1,,
characteristic,2,,
stumbling,3,,
up,6,,
um,1,,
politic,1,,
un,1,,
mature,3,,
autonomous,1,,
loving,1,,
chelsea,1,,
impo,1,,
genial,2,,
aerial,3,,
worthwhile,4,,
stripped,1,,
elitist,1,,
char,1,,
divisive,1,,
single,85,,
diverse,3,,
non-pathogenic,1,,
organizational,1,,
graceful,2,,
user-,1,,
phantom,1,,
harmonising,1,,
nan,1,,
matching,3,,
occasional,14,,
whi,3,,
electrical,9,,
irreplaceable,1,,
nice,424,value,0.725833333333333
get-out,1,,
infra-red,1,,
nappy,2,,
venerable,2,,
energetic,2,,
accidental,2,,
developmental,1,,
favourite,5,,
manky,1,,
faintly,1,,
luxurious,1,,
stockmarket,1,,
bulbous,1,,
armed,2,,
drab,2,,
self-certified,1,,
formal,15,other,0.452777777777778
charming,9,,
entertaining,1,,
tailored,1,,
required,3,,
reconditioning,2,,
visual,6,,
admiring,1,,
neighbouring,2,,
incomplete,1,,
broad,16,,
rigid,2,,
dogged,1,,
gr,1,,
fixed-rate,2,,
knotted,1,,
vaunted,1,,
cobalt,1,,
enjoyable,2,,
hyper,2,,
dainty,1,,
vicious,2,human,0.642142857142857
conservative,21,,
company-wide,1,,
compact,7,,
venerated,1,,
drive-in,1,,
unforseen,1,,
turkish,2,,
anointed,1,,
concerned,2,,
young,110,,0.551538461538462
literary,5,,
mammalian,1,,
compost,1,,
sub-four,1,,
fatal,2,,
friendly,11,,
paralleled,1,,
talented,2,,
treadle,1,,
panting,1,,
engineered,1,,
unbeaten,2,,
wavy,1,,
cellular,1,,
hi-tech,1,,
continued,3,,
gipsy,2,,
moderate,2,,
magic,2,,
stiff,7,,
shambling,1,,
fewer,4,,
anxious,2,,
married,6,,
endro-t,1,,
unsatisfied,1,,
oddball,1,,
lightest,1,,
video,5,,
inflamed,1,,
uncomfortable,2,,
architectural,2,,
acid,1,,
odd,36,value,0.715833333333333
folk,1,,
hourly,3,,
dowdy,1,,
opaque,2,,
atmospheric,1,,
inder,1,,
hereditary,1,,
rotten,19,value,0.4425
harmonious,1,,
volatile,1,,
gubernatorial,1,,
celled,1,,
pristine,2,,
poky,3,,
catholic,3,,
downright,1,,
greediest,1,,
flavoured,1,,
commercial,24,,
outlying,3,,
nimble,1,,
spaky,1,,
focused,1,,
lev,1,,
second-rate,1,,
locational,4,,
enterprising,1,,
implicit,1,,
extreme,8,,
great,401,value,0.838
technical,26,,
gullible,1,,
larger,2,,
resulting,1,,
snobby,2,,
up-to-date,1,,
evolvematic,1,,
footballing,1,,
deputy,3,,
private,40,,
sacrilegious,1,,
improbable,1,,
proprietary,3,,
thick,53,dimension,0.596153846153846
iced,1,,
unstinting,1,,
doodle,1,,
child-care,1,,
nicish,1,,
flabby,1,,
germ,1,,
classically,1,,
cheeky,12,,
irrepressible,1,,
grandest,1,,
clever,7,human,0.640909090909091
explan,1,,
pretty,18,value,0.863333333333333
biblical,1,,
inclined,1,,
credulous,1,,
bodily,8,,
reissued,1,,
sore,4,other,0.69
transient,1,,
tattered,4,,
central,28,location,0.3275
grim,2,,
whisky,1,,
non-communist,1,,
unrivalled,1,,
arched,1,,
thir,1,,
instinctual,2,,
slash-and-burn,1,,
gruff,1,,
obvious,8,other,0.629166666666667
thin,27,dimension,0.571538461538462
primitive,2,,
loca,1,,
reserved,1,,
bent,1,,
mowing,1,,
slim,5,,
var,1,,
promotional,1,,
high,78,location,0.428181818181818
serial,2,,
floury,1,,
native,3,,
educational,26,,
curving,1,,
varied,2,,
defective,1,,
picturesque,7,,
boxing,1,,
unquestionable,1,,
spurious,1,,
bilingual,1,,
intelligent,5,,
circular,5,,
profile,1,,
abrasive,1,,
maternal,1,human,0.434
aspiring,1,,
mixed,5,,
redundancy,1,,
psychiatric,2,,
anti-immigration,1,,
insy,1,,
seconding,1,,
psychedelic,1,,
daring,1,,
tomato,2,,
decaying,1,,
light,39,physical,0.562
lame,1,,
out-dated,1,,
redundant,1,,
shropshire,1,,
mid-ocean,3,,
furious,1,,
bairn,1,,
speedier,1,,
evolutionary,7,,
mute,1,,
institutional,1,,
manufactured,5,,
statutory,27,,
docile,1,,
own,311,other,0.253333333333333
east-west,1,,
agricultural,27,,
brittle,1,,
unsustainable,1,,
perfect,16,value,0.493
superior,2,,
crabby,1,,
outer,45,,
fair-trading,1,,
lo,4,,
nostalgic,1,,
mental,8,,
vital,6,,
pussy,4,,
orange,2,color,0.301538461538462
derelict,3,,
bye,7,,
crucial,5,,
crash,1,,
greater,1,,
orthodox,2,,
frontal,1,,
idiomatic,2,,
material,2,material,
cutting,1,,
stout,3,,
emerald,6,,
front,14,location,0.254
transparent,2,,
presidential,2,,
crass,2,,
trad,1,,
sleeve,2,,
fiddly,1,,
monosyllabic,1,,
tran,2,,
delightful,6,,
anti-german,1,,
uncaring,1,,
homogeneous,1,,
watery,1,,
tracksuit,1,,
moped,1,,
yellowish,1,,
programmed,2,,
related,1,,
inverted,1,,
climatic,3,,
sexy,3,,
dullest,1,,
thirteen,8,,
sectional,2,,
jagged,1,,
sexual,20,,
transitional,5,,
special,72,value,0.68
out,2,,
southerly,1,,
showergel,1,,
singular,1,,
rev,1,,
enforceable,1,,
your,6,,
grob,1,,
deray,1,,
mediated,1,,
wondrous,1,,
stud,1,,
adaptive,2,,
integrated,2,,
red,393,color,0.174166666666667
humanist,1,,
apprenticeship,1,,
unwieldy,1,,
roughened,1,,
frank,1,,
humiliating,2,,
greedy,1,human,0.93
twiggly,2,,
regulatory,4,,
convincingly,1,,
obscure,2,,
additional,29,,
pancreatic,1,,
mainland,1,,
midi,5,,
multi-cultural,1,,
maths,1,,
fortuitous,1,,
feasible,1,,
chilly,1,,
re-,1,,
stalinist,1,,
retail,4,,
south,16,location,0.232
prospective,8,,
finest,2,,
clamour,1,,
ethnic,6,,
baby-faced,1,,
jesus,1,,
galvanized,1,,
stark,1,,
footpath,1,,
rugged,1,,
three-way,1,,
quality,7,,
straight,28,,
legislative,4,,
ancient,5,,0.444
smaller,4,,
fascinating,4,,
unwashed,1,,
unknown,1,,
durable,1,,
unequivocal,1,,
unspecified,1,,
proni,1,,
realistical,1,,
peripheral,3,,
painful,5,,
paved,1,,
vigorous,2,,
unscrupulous,1,,
postgraduate,1,,
shallow,1,,
dreary,5,,
environmental,58,,
inestimable,1,,
overwhelming,1,,
congenital,2,,
hotpoint,1,,
glamorous,3,,
slack,1,,
magnatic,1,,
boring,14,,
conscious,2,,
richer,1,,
armament,1,,
wrong,14,value,0.452222222222222
appealing,2,,
halcyon,1,,
boyish,3,,
snazzy,2,,
bare,14,,
winsy,1,,
steep,1,physical,0.58
distinguished,5,,
itchy,1,,
ingenious,5,,
imaginative,2,,
false,5,,
farged,1,,
unchanged,1,,
four-man,1,,
tidy,8,value,0.593636363636364
reassuring,3,,
recyclable,1,,
gentle,13,human,0.573846153846154
civilized,4,,
prophetic,1,,
variable,1,,
brick-b,2,,
miserable,6,,
faux,1,,
curved,1,,
beefy,1,,
blockbuster,1,,
bookable,1,,
heroic,1,,
screw,2,,
unadulterated,1,,
able,5,,
chief,19,,
ecumenical,2,,
cotswold,1,,
philatelic,1,,
non-domestic,1,,
patchy,1,,
bemused,1,,
petrol,3,,
anti-semitic,1,,
dadas,1,,
demure,1,,
preliminary,2,,
sophisticated,8,,
intrinsic,1,,
so-called,20,,
inexorable,1,,
horrid,3,value,0.553333333333333
alaskan,3,,
neutral,1,,
screechy,1,,
perceiving,1,,
prickly,1,,
distinctive,10,,
skinny,2,dimension,0.641818181818182
weeny,2,dimension,0.77
impish,1,,
spindly,1,,
exclusive,1,,
indoor,2,,
woolly,1,,
unfathomable,1,,
one-off,2,,
ki,1,,
utter,1,,
spindle,1,,
trivial,7,,
sparky,1,,
ha,5,,
aftershave,1,,
hopeful,1,,
hydroelectric,2,,
operational,2,,
envi,1,,
creme,1,,
myriad,2,,
communist,6,,
local,214,,
in-house,4,,
inferior,1,,
banditry,1,,
exceptional,6,,
familiar,7,,
vascular,3,,
overall,18,,
wiggly,1,other,0.437058823529412
maritime,1,,
joint,8,,
bean,1,,
legitimate,8,,
consecutive,1,,
wise,16,human,0.753846153846154
striped,1,,
dodgy,3,,
routine,1,,
anti-hunt,1,,
partic,1,,
forbiddingly,1,,
stitching,1,,
whilst,2,,
differential,1,,
gran,1,,
enclose,1,,
mumsy,1,,
fixed,3,,
embryonic,1,,
official,6,,
ironed,1,,
accepted,1,,
notational,1,,
national,78,,
turbulent,2,,
canine,5,,
geometrically,1,,
enhanced,1,,
confrontational,1,,
luminous,2,,
progressive,5,,
nuclear,10,,
monstrous,1,,
southward,1,,
superb,8,,
written,5,,
supernatural,1,,
cloudless,1,,
closed,1,,
horrible,14,value,0.64
refreshing,1,,
frustrated,1,,
wiry,2,,
nutritious,1,,
subversive,1,,
comparable,2,,
explosive,1,,
extravagant,3,,
uncompleted,1,,
phoney,1,,
key,9,,
lb,1,,
precious,7,value,0.755
weary,2,,
swift,1,,
tented,1,,
blummin,2,,
observable,1,,
instant,2,speed,0.251111111111111
speckledy,1,,
gingery,1,,
ahzelgrove,1,,
equal,3,,
ding-dong,3,,
insidious,1,,
busted,2,,
tactical,4,,
tremmy,1,,
anti-trust,1,,
anti-semetic,1,,
glorious,5,,
inflammatory,2,,
budgetary,2,,
unopened,1,,
invasive,1,,
habitual,1,,
harmonic,7,,
ce,1,,
migrant,2,,
baleful,1,,
disturbing,2,,
cr,1,,
winning,1,,
flourishing,2,,
rusty,2,,
tremendous,13,,
decent,16,,
muddy,2,,
dazzling,5,,
quent,1,,
literal,1,,
unspoken,1,,
do-nothing,1,,
hottest,2,,
longstanding,1,,
partial,1,,
oth,6,,
non-gav,1,,
corresponding,3,,
powerful,18,,
received,2,,
sufficient,8,,
crappy,1,,
ridden,1,,
finished,1,,
tense,1,,
wartime,2,,
last,407,temporal,0.39
civi,1,,
present,30,,
statist,1,,
associated,1,,
multi,1,,
factual,6,,
toothless,1,,
abandoned,1,,
plain,24,value,0.571428571428571
rectangular,1,,
surveyors,1,,
stunning,8,,
wild,28,value,0.636428571428571
ultra,4,,
frustrating,1,,
mutant,2,,
prosy,1,,
ripe,11,,0.241666666666667
lush,7,,
centenary,2,,
unclean,1,,
gothic,2,,
optimistic,1,,
dual,3,,
lightweight,2,,
phosphorous,1,,
roll-off,1,,
lunatic,2,,
orbital,1,,
hocus,1,,
electro-mechanical,1,,
vintage,1,,
cross,9,human,0.477142857142857
thatcherite,1,,
coronary,2,,
adverse,7,,
strange,33,value,0.757777777777778
merciful,1,,
geographical,3,,
pigalle,1,,
underground,1,,
glaring,1,,
privileged,1,,
fide,2,,
operat,1,,
garish,1,,
succulent,1,,
neolithic,1,,
pho,1,,
reactionary,1,,
cubic,1,,
eccentric,5,,
intravascular,1,,
bald,3,physical,0.182222222222222
unsympathetic,1,,
bullying,1,,
discredited,1,,
colouring,1,,
fully-fashioned,1,,
infinite,2,,
impeccable,1,,
incendiary,1,,
mosaic,1,,
snatchers,1,,
steerable,1,,
neural,1,,
shotgun,1,,
colour,15,,
disoriented,1,,
rife,1,,
qualified,1,,
shortsighted,1,,
underlay,1,,
english,24,nationality,0.191111111111111
yangtze,1,,
soviet,6,,
latest,5,,
fisted,1,,
spastic,1,,
high-risk,3,,
less,5,,
well-financed,1,,
executive,3,,
domestic,18,,
blackpool,1,,
interim,5,,
distant,1,,
itemised,1,,
exemplary,2,,
keen,2,,
roomy,1,,
adv,1,,
every-day,1,,
generous,3,,
rapid,4,,
run-down,1,,
fifty-five,1,,
residential,15,,
large-scale,1,,
blatant,1,,
barefooted,1,,
inval,1,,
handy,4,value,0.674166666666667
attractive,16,,
wet,9,physical,0.5275
mannered,3,,
embossed,1,,
practise,1,,
ski,1,,
unprecedented,2,,
smart,18,human,0.596666666666667
identical,1,,
definitive,1,,
ample,1,,
baltic,1,,
sterner,1,,
entrepreneurial,2,,
livid,1,,
effortless,1,,
historic,8,,
facial,3,,
panelled,2,,
whopping,2,,
membrane,1,,
debatable,1,,
steely,3,,
crisp,5,physical,0.614285714285714
helpful,4,,
lost,2,,
inquisitive,1,,
pro-social,1,,
qualitative,3,,
lank,1,,
sized,1,,
repressed,1,,
illuminous,1,,
soft,110,physical,0.572222222222222
incandescent,1,,
poor,147,value,0.53
shabby,6,,
classical,5,,
hurar,1,,
uncharacteristic,1,,
padlocked,1,,
flush,1,,
proper,43,value,0.766666666666667
supportive,1,,
stuffy,1,,
guid,1,,
lead,2,,
rural,34,,
suppressing,1,,
humorous,1,,
leaded,3,,
lean,3,,
consultative,1,,
eerie,1,,
appreciative,1,,
referential,1,,
sacramental,1,,
coated,3,,
medieval,11,,
slight,8,,
11m,1,,
winscale,1,,
viticultural,1,,
skelet,1,,
preventative,1,,
two-piece,1,,
noisy,3,,
actual,55,,
computerized,2,,
sinister,1,,
fudd,1,,
beige,3,,
apostle,2,,
seedy,1,,
transitive,1,,
documentary,2,,
distressed,1,,
swb,1,,
polished,5,,
cocked,1,,
primal,1,,
emotive,1,,
functional,10,,
due,3,,
disaffected,1,,
female,7,,
scintillate,1,,
mere,6,,
unfashionable,1,,
undemonstrative,1,,
elastic,2,,
confident,1,,
noxious,1,,
adversarial,1,,
noticed,1,,
continental,1,,
fluted,1,,
recognised,4,,
utopian,2,,
biggest,3,,
strappy,1,,
rhythmic,2,,
buy,1,,
north,13,,
hazardous,1,,
pe,3,,
vindictive,1,,
practicising,1,,
subjective,1,,
repeated,1,,
hi,2,,
index-linked,1,,
automated,2,,
highest,1,,
versatile,4,,
anecdotic,1,,
misty,1,,
baptist,1,,
upwardly,1,,
chained,1,,
dangerous,8,,
daffodil,1,,
smooth,32,physical,0.59875
flip,1,,
triumphant,1,,
venetian,1,,
record,1,,
cruel,2,,
investigative,1,,
acting,2,,
static,2,,
rickety,8,,
anti-tank,1,,
excruciatingly,1,,
irish,9,,
int,2,,
inadequate,1,,
universal,4,,
semi-,1,,
persistent,2,,
carbohydrate,1,,
sleeved,2,,
well-defined,3,,
ine,1,,
balcony,1,,
mutual,1,,
incredible,5,,
deadly,2,,
bulky,3,,
virtual,1,,
other,918,other,
es,1,,
sick,13,other,0.344285714285714
cutthroat,1,,
jeepy,1,,
out-county,1,,
behold,1,,
under-active,1,,
reckless,1,,
pantomime,1,,
star,1,,
traumatic,1,,
shredded,1,,
stringy,1,,
tabloid,2,,
